Classification_Size,Classification_Focus,Research_Intensity,Status,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_Per_Faculty_Score,International_Faculty_Score,International_Student_Score,Overall_Score
M,CO,VH,B,100.0,100.0,100.0,99.9,100.0,96.1,100
L,FC,VH,B,100.0,100.0,100.0,99.4,99.6,72.7,98.7
L,FC,VH,B,100.0,100.0,98.3,99.9,96.5,75.2,98.4
S,CO,VH,B,99.5,85.4,100.0,100.0,93.4,89.2,97.7
L,FC,VH,A,100.0,100.0,100.0,78.3,97.4,97.7,95.6
L,FC,VH,A,100.0,100.0,100.0,76.3,98.6,98.5,95.3
XL,FC,VH,A,99.7,99.5,99.1,74.7,96.6,100.0,94.6
L,FC,VH,A,99.4,100.0,100.0,68.7,100.0,100.0,93.7
L,FC,VH,B,99.9,92.9,96.5,85.9,71.9,79.8,93.5
L,CO,VH,A,99.6,99.4,68.2,98.7,100.0,98.8,93.3
L,FC,VH,A,93.9,96.6,93.6,83.3,100.0,88.2,92.2
M,FO,VH,A,83.0,95.5,92.0,99.2,100.0,100.0,91.2
M,CO,VH,B,100.0,97.3,70.9,100.0,67.4,70.8,91
L,FC,VH,B,99.6,93.7,67.4,96.2,92.2,79.2,90.7
XL,FC,VH,A,100.0,99.9,88.8,66.2,100.0,86.1,90.5
L,FC,VH,B,100.0,99.8,100.0,63.2,90.7,61.7,90.4
L,FC,VH,B,94.3,66.4,100.0,83.9,87.9,81.3,89.8
L,FC,VH,B,99.9,98.1,100.0,62.3,34.7,94.9,88.9
L,FC,VH,B,97.4,94.9,100.0,67.4,67.1,64.5,88.7
L,FC,VH,A,99.3,90.4,55.3,85.6,100.0,98.8,87.1
L,FC,VH,B,94.0,78.1,98.1,91.4,14.2,56.6,87
XL,FC,VH,A,99.7,92.2,89.6,66.7,78.0,51.2,87
L,FC,VH,A,92.8,92.4,87.6,64.8,97.4,99.2,86.9
L,FC,VH,A,99.1,96.6,83.2,55.5,94.9,98.6,86.9
XL,FC,VH,A,99.2,99.6,86.7,75.3,42.1,25.6,85.6
L,FC,VH,A,99.1,93.4,85.3,46.3,100.0,99.4,85.5
XL,FC,VH,A,100.0,99.9,36.2,99.3,97.7,54.6,84.9
L,FC,VH,B,91.3,76.6,98.6,75.4,57.9,55.0,84.8
L,FC,VH,A,100.0,99.8,92.6,73.3,9.7,20.2,84.8
M,CO,VH,A,93.0,87.2,54.9,87.7,100.0,93.0,84.3
XL,FC,VH,A,99.7,95.6,74.5,50.0,97.0,92.1,84
L,FC,VH,A,96.9,96.1,69.4,61.4,88.9,95.6,83.9
XL,FC,VH,A,100.0,99.4,43.7,97.5,54.0,50.0,83.6
XL,FC,VH,A,97.4,99.4,75.4,47.5,89.3,98.3,83
M,SP,VH,A,90.3,100.0,55.9,71.7,100.0,100.0,81.8
L,FC,VH,A,99.7,94.9,95.7,56.4,13.1,17.1,81.5
L,FC,VH,A,98.9,97.4,79.8,70.6,23.0,16.0,81.5
XL,FC,VH,A,99.8,99.9,66.6,61.7,52.8,48.5,80.8
XL,FC,VH,A,96.0,61.3,58.9,90.3,64.6,59.9,80.8
L,FC,VH,A,91.4,97.1,76.1,63.7,79.5,45.2,80.6
M,CO,VH,A,89.4,87.4,70.1,99.5,25.2,10.0,80.4
XL,FC,VH,A,99.8,99.5,26.2,77.2,94.7,99.7,80.4
S,SP,VH,B,80.2,78.6,60.4,100.0,94.4,60.4,79.9
L,FC,VH,A,85.7,95.5,79.2,56.4,87.9,79.2,79.5
XL,FC,VH,A,96.4,98.4,22.4,79.8,100.0,97.8,78.9
L,FC,VH,A,94.3,83.3,66.0,50.7,99.8,84.9,78.8
L,FC,VH,B,85.0,85.1,43.2,95.6,62.3,100.0,78.6
XL,FC,VH,A,94.6,84.1,30.8,83.4,100.0,87.3,78.6
M,CO,VH,A,70.8,50.5,83.6,91.5,100.0,97.5,78.4
XL,FC,VH,A,99.3,98.3,21.4,70.3,100.0,98.1,78
XL,FC,VH,A,99.1,95.5,37.9,63.7,91.5,72.2,77.9
XL,FC,VH,B,97.9,92.6,95.5,23.4,14.5,84.1,77.3
M,FC,VH,B,72.5,56.9,80.3,92.5,80.2,60.9,76.5
L,CO,VH,A,79.7,91.0,36.7,91.6,97.7,87.4,76.1
XL,FC,VH,A,94.0,62.1,84.0,54.2,53.2,30.9,75.8
M,CO,VH,A,83.1,83.7,90.1,62.4,26.5,24.4,74.8
L,FC,VH,A,83.5,98.9,51.2,54.1,98.0,99.0,74.4
